,Unnamed: 0,Country,Title,Year,Form of Violence,Full_Text,Brief_Description,Source of Info,Full_Text_Language,Country_Official_Spoken_Language,Type_of_Measures_1,Type_of_Measures_2,Population(2020),Yearly_Change,Net_Change,Density(P/Km),Land Area(Km),Migrants(net),Fert_Rate,Med_Age,UrbanPop %,WorldShare,Region,Income group,Rank_2020,Lower or single House Elections_2020,Lower or single House Seats_2020,Lower or single House Women_2020,Lower or single House % of Women_2020,Upper chamber Elections_2020,Upper chamber Seats_2020,Upper chamber Women_2020,Upper chamber % of Women_2020
0,0,Tanzania,Law Prohibiting Child Marriage (Education Act),2016,Child early and forced marriage,"According to the bill supplement published by the government of the United Republic of Tanzania on 20th May 2016, the government has amended the Education Act (CAP.353) as follows:

20. This Part shall be read as one with the Education Act, hereinafter referred to as the “principal Act”.
21. The principal Act is amended in section 60(1) by deleting paragraph (k).
22. The principal Act is amended by adding immediately after section 60 the following new section: 
60A. (1) It shall be unlawful under any circumstance for: 
(a) any person to marry a primary or secondary school girl or a school boy; or 
(b) a primary or secondary school boy to marry any person. 
(2) Any person who contravenes any provision of subsection (1) commits an offence and shall, on conviction, be liable to imprisonment for a term of thirty years. 
(3) Any person who impregnates a primary school or a secondary school girl commits an offence and shall, on conviction, be liable to imprisonment for a term of thirty years. 
(4) Any person who aids, abates or solicits a primary or secondary school girl or a school boy to marry while pursuing primary or secondary education commits an offence and shall, on conviction, be liable to a fine of not less than five million shillings or to imprisonment for a term of five years or to both. 
(5) Every Head of School shall keep record and submit to the Commissioner or his representative a detailed quarterly report of cases of marriages and pregnancies under subsection (1), (3) or (4) and legal actions taken against the offenders. 
(6) Notwithstanding anything in this section, the provisions of the Penal Code relating to sexual offences against girls or children under eighteen shall, where appropriate, apply mutatis mutandis in relation to primary and secondary school girls and boys under the age of eighteen.",,"[http://parliament.go.tz/"" target=""_blank]Parliament of Tanzania, United Republic of Tanzania.
[http://parliament.go.tz/polis/uploads/bills/1464768595-Written%20Laws%20(Miscellanous%20Amendments)%20(No.2)%20Bill,%202016%20.pdf"" target=""_blank]Please click here for more information. ",English,English,Violence against women ,  Legislation,"59,734,218",2.98%,"1,728,755",67,"885,800","-40,076",4.9,18,37%,0.77%,Sub-Saharan Africa,Lower middle income,34.0,10.2015,393,145,36.9,-,-,-,-
1,1,Tanzania,National Strategy for Gender Development,2005,Female genital mutilation,"The National Strategy for Gender Development requires that the Tanzanian legal system be reviewed to take into account women's rights as human rights, and that laws be translated into Kiswahili and into popular versions and be made available to communities and other stakeholders. It also requires the review and repeal of discriminatory laws, including through amending the Marriage Act no 5 (1971) and laws related to succession, inheritance, child rights, and other discriminatory laws.
 
The Plan requires that:
 
i.      Section 21 of the Sexual Offences (Special Provisions) Act, be amended so as to have no age limitation regarding Female Genital mutilation;
 
ii.      The Law of Marriage Act.No.5 of 1971 sections 13,23(1), 114(2), 160 and 66 be amended to raise the age of marriage to 18 and control emergency marriage, as well as to ensure that the rights of women and children are further protected especially regarding property rights during marriage, property laws on the death of a spouse, and property rights on divorce.
 
iii.      Inheritance Laws be amended.",National Strategy for Gender Development,"Response of the Government of the United Republic of Tanzania to the questionnaire on violence against women, June 2009",English,English,Policies ,  Inclusion of violence against women in other national plan strategy,"59,734,218",2.98%,"1,728,755",67,"885,800","-40,076",4.9,18,37%,0.77%,Sub-Saharan Africa,Lower middle income,34.0,10.2015,393,145,36.9,-,-,-,-
2,2,Tanzania,Sexual Offences Special Provisions Act (FGM),1998,Violence against women and girls,"In 1998 the Parliament enacted the Sexual Offences Special Provisions Act which among other things addresses sexual exploitation of women and children, incest, procuration for prostitution, trafficking of persons, cruelty to children and child prostitution.  It also addresses forms of sexual abuse such as sexual harassment (Article 11), rape, molestation, indecent assault and sodomy, most of which are committed against women and children.  The Act criminalized female genital mutilation.


In addition, the Sexual Offences Special Provision Act is an Act to amend several written laws, making special provisions in those laws with regard to sexual and other offences to further safeguard the personal integrity, dignity, liberty and security of women and children.",Sexual Offences Special Provisions Act (FGM),"CEDAW/C/TZA/6 paras. 26 and 49.


The Government of The United Republic of Tanzania, National Review on the Beijing +20 2014, para.99
For more information [http://www.refworld.org/cgi-bin/texis/vtx/rwmain?page=search&docid=3ae6b5098&skip=0&query=Sexual%20Offences%20Special%20Provision%20Act&coi=TZA]please click here.",English,English,Violence against women ,  Legislation,"59,734,218",2.98%,"1,728,755",67,"885,800","-40,076",4.9,18,37%,0.77%,Sub-Saharan Africa,Lower middle income,34.0,10.2015,393,145,36.9,-,-,-,-
3,3,Tanzania,Anti Trafficking of Persons Act,2008,Trafficking,"The Anti Trafficking of Persons Act, 2008 applies to Mainland Tanzania and Tanzania Zanzibar.  The Act states that a person commits an offense of trafficking in persons in that person recruits, transfers, harbours, provides, or receives a person by any means including those done under the pretext of domestic or oversease employment, training, or apprenticeship for the purpose of prostitution, pornography, sexual exploitation, forced labour, slavery, involuntary servitude or debt bondage.  Forced marriage and sex tourism is also included as offenses of trafficking in persons.  A person who commits any of the offences or acts specified under this section shall, on conviction, be liable to a fine of not less than five million shillings but not more than one hunderd million shillings or to imprisonment for a term of not less than two years and not more than ten years or to both.",,"The Government of The United Republic of Tanzania, National Review on the Beijing +20 2014, para. 72
For more information [http://www.immigration.go.tz/downloads/Anti-trafficking%20in%20Person%20Act%202008.pdf]please click here. ",English,English,Violence against women ,  Legislation,"59,734,218",2.98%,"1,728,755",67,"885,800","-40,076",4.9,18,37%,0.77%,Sub-Saharan Africa,Lower middle income,34.0,10.2015,393,145,36.9,-,-,-,-
4,4,Tanzania,Gender Indicators Booklet,2010,Violence against women and girls,The Gender Indicators Booklet (2010) contains information on gender-based violence in its Chapter 4.7 (p. 69 to 72) entitled 'Gender Indicators and Analyses - Gender-Based Violence.',Gender Indicators Booklet ,Poverty Eradication and Economic Empowerment Division,,English,Research and statistical data ,  Other research and statistical data,"59,734,218",2.98%,"1,728,755",67,"885,800","-40,076",4.9,18,37%,0.77%,Sub-Saharan Africa,Lower middle income,34.0,10.2015,393,145,36.9,-,-,-,-
5,5,Tanzania,Sexual Offences Special Provisions Act (FGM),1998,Violence against women and girls,"In 1998 the Parliament enacted the Sexual Offences Special Provisions Act which among other things addresses sexual exploitation of women and children, incest, procuration for prostitution, trafficking of persons, cruelty to children and child prostitution.  It also addresses forms of sexual abuse such as sexual harassment (Article 11), rape, molestation, indecent assault and sodomy, most of which are committed against women and children.  The Act criminalized female genital mutilation.


In addition, the Sexual Offences Special Provision Act is an Act to amend several written laws, making special provisions in those laws with regard to sexual and other offences to further safeguard the personal integrity, dignity, liberty and security of women and children.",Sexual Offences Special Provisions Act (FGM),"CEDAW/C/TZA/6 paras. 26 and 49.


The Government of The United Republic of Tanzania, National Review on the Beijing +20 2014, para.99
For more information [http://www.refworld.org/cgi-bin/texis/vtx/rwmain?page=search&docid=3ae6b5098&skip=0&query=Sexual%20Offences%20Special%20Provision%20Act&coi=TZA]please click here.",,English,Violence against women ,  Legislation,"59,734,218",2.98%,"1,728,755",67,"885,800","-40,076",4.9,18,37%,0.77%,Sub-Saharan Africa,Lower middle income,34.0,10.2015,393,145,36.9,-,-,-,-
6,6,Tanzania,Gender Indicators Booklet,2010,Violence against women and girls,The Gender Indicators Booklet (2010) contains information on gender-based violence in its Chapter 4.7 (p. 69 to 72) entitled 'Gender Indicators and Analyses - Gender-Based Violence.',Gender Indicators Booklet ,Poverty Eradication and Economic Empowerment Division,English,English,Research and statistical data ,  Other research and statistical data,"59,734,218",2.98%,"1,728,755",67,"885,800","-40,076",4.9,18,37%,0.77%,Sub-Saharan Africa,Lower middle income,34.0,10.2015,393,145,36.9,-,-,-,-
7,7,Cameroon,Penal Code (Prohibition of Child Marriage),2016,Child early and forced marriage,"Thenew Penal Code, under section 356, states;

- Whoever compels anyone to marry shall be punished with imprisonment for from 5 – 10 years with a fine of from CFAF  25,000 – 1,000,000 (USD $45-$1,700)
- Where the victim is under the age of 18, the punishment may not be less than 2 years imprisonment, whatever the mitigating circumstances
- Whoever gives in marriage a boy or a girl under 18 shall be punished as under the last two foregoing subsections
- Under conviction, the court may deprive the offender of parental power and disqualify him from being the guardian or curator of any person for the time prescribed by section 31 (4) of this penal code",,"United Nations Popolation Fund
Click [http://www.unfpa.org/news/new-rules-help-end-child-marriage-cameroon"" target=""_blank]here and [ http://www.equalitynow.org/sites/default/files/Protecting_the_Girl_Child.pdf"" target=""_blank]here for more information",English,French,Violence against women ,  Legislation,"26,545,863",2.59%,"669,483",56,"472,710","-4,800",4.6,19,56%,0.34%,Sub-Saharan Africa,Lower middle income,39.0,2.202,180,61,33.9,3.2018,100,26,26
8,8,Cameroon,Cooperation Agreement with NGOs,2008,Violence against women and girls,"A cooperation agreement with three NGOs (AWA, WOPA and ASSEJA) aims to ensure that all acts of violence and discrimination against women are reported, that trafficking networks are exposed and dismantled and that the police force receives support in caring for and assisting in the reintegration of women victims of violence into society and their families. This cooperation also seeks to build the capacity of the NGO personnel and facilitate regular exchange of information.",,CEDAW/C/CMR/Q/3/Add.1 p.12,English,French,Coordinated and or Integrated service delivery ,  Referral services,"26,545,863",2.59%,"669,483",56,"472,710","-4,800",4.6,19,56%,0.34%,Sub-Saharan Africa,Lower middle income,39.0,2.202,180,61,33.9,3.2018,100,26,26
9,9,Cameroon,Reported Cases of Violence against Women,2006 - 2008,Violence against women and girls,"During the period from 2006 to October 2008, the country’s decentralized services and specialized technical units recorded 12,680 cases, including:



    3,680 cases of physical violence against women (beatings)
    2,500 cases of psychological violence (serious verbal abuse)
    850 cases of repudiation
    1,855 cases of non-payment of spousal support
    25 cases of rape
    1,950 cases of family abandonment
    1,829 cases of bigamy.

In addition, about 1,500 cases were reported directly to the Minister’s office during the same period.",,CEDAW/C/CMR/Q/3/Add.1 p.10-11,English,French,Administrative data ,  Police,"26,545,863",2.59%,"669,483",56,"472,710","-4,800",4.6,19,56%,0.34%,Sub-Saharan Africa,Lower middle income,39.0,2.202,180,61,33.9,3.2018,100,26,26
