,Time_Zone ,Date,Tweets_tag
0, Central Africa Standard Time	,2021-05-07,"		In preventing #VAW, it is necessary to understand and recognize the role of patriarchy in violence against women and girls. Unequal power relations lead to a culture of male dominance, and violence against women is used as a tool for ensuring that this dominance is preserved  https://t.co/TW3KzjnK6I	en	[]	[]	[]	0	23	37	['vaw']	[]	https://twitter.com/GBVnet/status/1390525839419269124	False	0	1	https://pbs.twimg.com/ext_tw_video_thumb/1390525809300017153/pu/img/Ff4XGwEI2MCq3WGn.jpg							[]"
1, Central Africa Standard Time	,2021-05-06,"		RT @SamaritanOrgan1: @GBVnet @WIIS_HoA Every day @SamaritanOrgan1 we live by our vision-being the leading grassroot organisation in Busia Câ€¦	en	[{'screen_name': 'samaritanorgan1', 'name': 'samaritan organisation', 'id': '1337642533925609472'}, {'screen_name': 'gbvnet', 'name': 'gbv prevention net', 'id': '1577680016'}, {'screen_name': 'wiis_hoa', 'name': 'wiis_hoa', 'id': '728182601463246848'}, {'screen_name': 'samaritanorgan1', 'name': 'samaritan organisation', 'id': '1337642533925609472'}]	[]	[]	0	3	0	[]	[]	https://twitter.com/GBVnet/status/1390295772583796738	True	0	0					1337642533925609472	@GBVnet @WIIS_HoA Every day @SamaritanOrgan1 we live by our vision-being the leading grassroot organisation in Busia County in promoting gender equality. This is what we exactly mean; uprooting patriarchy from the roots. Women and girls need to be #safe. https://t.co/bBXu2Dw7Oi	1385146978829545472	[]	2021-04-22 09:22:29 W. Central Africa Standard Time"
2, Central Africa Standard Time	,2021-05-06,"		RT @KobugabeLucky: This was such an aspirational read! Canâ€™t wait for the conversation tomorrow! ðŸ¥³ðŸ¥³  https://t.co/YON4TzDHLv	en	[{'screen_name': 'kobugabelucky', 'name': 'melancholia', 'id': '1163700575814520832'}]	[]	[]	0	3	0	[]	[]	https://twitter.com/GBVnet/status/1390289510899015682	True	https://twitter.com/GBVnet/status/1389904601604833281	0					1163700575814520832	This was such an aspirational read! Canâ€™t wait for the conversation tomorrow! ðŸ¥³ðŸ¥³	1389905048533192708	[]	2021-05-05 12:29:21 W. Central Africa Standard Time"
3, Central Africa Standard Time	,2021-05-06,"		RT @aj_emurwon: Wrote A Family Meeting, a short story that imagines a Feminist Future where a woman reflects and makes decisions about herâ€¦	en	[{'screen_name': 'aj_emurwon', 'name': 'angie ðŸ’š', 'id': '1283320932'}]	[]	[]	0	9	0	[]	[]	https://twitter.com/GBVnet/status/1390289495031963648	True	0	0					1283320932	""Wrote A Family Meeting, a short story that imagines a Feminist Future where a woman reflects and makes decisions about her life; where wellness and safety is understood and appreciated."
4, Central Africa Standard Time	,2021-05-06,"		RT @YfcUganda: Why is it Dangerous? Victim-blaming attitudes marginalize the victim/survivor and make it harder to come forward and reportâ€¦	en	[{'screen_name': 'yfcuganda', 'name': 'yfc-uganda', 'id': '1101493586305171461'}]	[]	[]	0	12	0	[]	[]	https://twitter.com/GBVnet/status/1390289343483416576	True	0	0					1101493586305171461	""Why is it Dangerous? Victim-blaming attitudes marginalize the victim/survivor and make it harder to come forward and report the abuse."
5, Central Africa Standard Time	,2021-05-06,"		RT @Drsaalajeng: Seeing my Senegalese feminist sisters going through a lot of online abuse on Twitter these days and thought I would do a tâ€¦	en	[{'screen_name': 'drsaalajeng', 'name': 'rama saala dieng', 'id': '2888393537'}]	[]	[]	0	38	0	[]	[]	https://twitter.com/GBVnet/status/1390289272079593474	True	0	0					2888393537	""Seeing my Senegalese feminist sisters going through a lot of online abuse on Twitter these days and thought I would do a thread of resources on selfcare tips strategies - mostly in English - (It won't be long I am a bit under the weather)"
6, Central Africa Standard Time	,2021-05-06,"		RT @Drsaalajeng: Visuals from @GBVnet  https://t.co/dPx6ndBc37	en	[{'screen_name': 'drsaalajeng', 'name': 'rama saala dieng', 'id': '2888393537'}, {'screen_name': 'gbvnet', 'name': 'gbv prevention net', 'id': '1577680016'}]	[]	['https://pbs.twimg.com/media/E0pHw71XoAA4iOl.jpg', 'https://pbs.twimg.com/media/E0pHxZ-WEAA9dNv.png']	0	7	0	[]	[]	https://twitter.com/GBVnet/status/1390289183579717637	True	0	1	https://pbs.twimg.com/media/E0pHw71XoAA4iOl.jpg				2888393537	Visuals from @GBVnet https://t.co/dPx6ndBc37	1390002374811521030	[]	2021-05-05 18:56:05 W. Central Africa Standard Time"
7, Central Africa Standard Time	,2021-05-06,"		RT @GBVnet: VAW is an injustice and violation of the rights of womenâ€“ it affects us all â€“ until we are all safe, no one is safe.  https://t.â€¦	en	[{'screen_name': 'gbvnet', 'name': 'gbv prevention net', 'id': '1577680016'}]	[]	[]	0	59	0	[]	[]	https://twitter.com/GBVnet/status/1390288877210976259	True	0	0					1577680016	VAW is an injustice and violation of the rights of womenâ€“ it affects us all â€“ until we are all safe, no one is safe. https://t.co/3glj6xTHU7	1389526546017304577	[]	2021-05-04 11:25:19 W. Central Africa Standard Time"
8, Central Africa Standard Time	,2021-05-06,		ðŸ’¡Follow this on-going conversation to learn more about the new health budget cuts in Uganda and the adverse effects on women and sexual reproductive rights. #NoHealthBudgetCut	en	[]	[]	[]	0	3	4	['nohealthbudgetcut']	[]	https://twitter.com/GBVnet/status/1390278337063489540	False	https://twitter.com/amwaafrika/status/1390275117624688642	0								[]
9, Central Africa Standard Time	,2021-05-06,"		RT @GBVnet: Join us tomorrow, 6th May 2021 at 4pm EAT/5pm SAST for an Instagram Live Chat with Angie Emurwon via @preventgbvnet &amp; Nokukhanyâ€¦	en	[{'screen_name': 'gbvnet', 'name': 'gbv prevention net', 'id': '1577680016'}]	[]	[]	0	8	0	[]	[]	https://twitter.com/GBVnet/status/1390270262118162435	True	0	0					1577680016	""Join us tomorrow, 6th May 2021 at 4pm EAT/5pm SAST for an Instagram Live Chat with Angie Emurwon via @preventgbvnet &amp; Nokukhanya Ntsaluba via @pretty_x_bookish on Instagram. Angie will be discussing her short story titled """"A Family Meeting""""."
