,Time_Zone ,Date,Username,all_tweets_clean_links
0, Central Africa Standard Time	,2021-05-07,CDF Tanzania,“ msichana akiolewa akiwa mdogo (mtoto) anapata mahari kubwa kulinganisha na yule atakayeolewa akiwa na umri mkubwa. Wanaweza kupata mahari kati ya Sh. 500000-700000 wakati wasichana wakubwa hupokea vyombo na nguo.” (Wasichana chini ya miaka 18
1, Central Africa Standard Time	,2021-05-07,CDF Tanzania,“Our parents say that if a girl is married at an early age she receives a higher bride price than the older one. They can get between TZS 500000-700000 for the younger child. Older girls only receive cooking ware and clothes.” (Girls
2, Central Africa Standard Time	,2021-05-05,CDF Tanzania,Mafunzo kwa kwa maafisa wa Dawati la Polisi la Jinsia yanalenga kuwajengea uwezo wa kitaalamu wa kushughulikia kesi za ukatili wa kijinsia na ukatili wa  watoto maafisa hawa.  #ZuiaUkatili  
3, Central Africa Standard Time	,2021-05-05,CDF Tanzania,@cdftz kwa kushirikiana na Jeshi la Polisi kwa ufadhili wa @UNFPATanzania kutoa mafunzo ya siku 5 kwa maafisa wa Dawati la Polisi la Jinsia na watoto kutoka wilaya 5 (Hannang Kiteto MbuluSimanjiro na Babati) Mkoani Manyara.   #ZuiaUkatili  
4, Central Africa Standard Time	,2021-05-05,CDF Tanzania,"""“I think parents marry off their children because life forces them to do so.” (Male 16 yrs - Lindi Rural)   """"Nadhani wazazi huwaoza mabinti zao kwa sababu ya hali ya kimaisha."""" (Kijana wa kiume mika 16 - Lindi Vijijini)  Je ndoa za utotoni huinua uchumi wa Kaya?  #ZuiaUkatili""	tl	[]	[]	[]	0	4	12	['zuiaukatili']	[]	"
5, Central Africa Standard Time	,2021-05-04,CDF Tanzania,""""""" miaka 17 Mkoani Shinyanga)  #ZuiaUkatili #EndVAWC""	in	[]	[]	[]	0	1	4	['zuiaukatili' 'endvawc']	[]	"
6, Central Africa Standard Time	,2021-05-04,CDF Tanzania,“Many girls in this village marry after they finish primary school at the age of 14. I was married at 15.” (Female 17 years old – Shinyanga).  #ZuiaUkatili #EndVAWC	en	[]	[]	[]	1	2	4	['zuiaukatili' 'endvawc']	[]	
7, Central Africa Standard Time	,2021-05-04,CDF Tanzania,@elkindy Asante kwa kutuandikia ujumbe tutalifanyia kazi.	in	[]	[]	[]	0	0	1	[]	[]	
8, Central Africa Standard Time	,2021-05-04,CDF Tanzania,@noto77830589 @bajabiri Itabidi tuwaulize.	tl	[]	[]	[]	0	0	1	[]	[]	 'name': 'notox' 'id': '1375918134796820480'} {'screen_name': 'bajabiri'
9, Central Africa Standard Time	,2021-05-04,CDF Tanzania,@MutRay2 @MabalaMakengeza Ni kweli kabisa. Asante kwa maoni yako.	tl	[]	[]	[]	0	0	0	[]	[]	 'name': 'MOG-EAMOT PROJECT' 'id': '1379831217005203463'} {'screen_name': 'MabalaMakengeza'
